hh_ID,n_hh,n_waa,n_child,n_aged,csec,all_school,region,cropprod,landsize,mo_lowfood
1582,5,2,3,0,0,1,4,1.56,2.43,4
1554,6,2,4,0,0,1,1,1.55,2.02,0
466,5,2,1,2,0,0,4,1.55,2.43,4
356,7,2,3,2,0,0,4,1.55,4.05,4
1153,6,2,3,1,0,1,1,1.55,0.4,6
1519,3,2,1,0,0,0,4,1.55,1.62,10
1163,6,2,3,1,0,1,3,1.55,3.64,8
1436,5,2,3,0,0,0,5,1.54,1.21,4
1264,5,3,1,1,0,1,4,1.54,3.64,2
607,6,2,2,2,0,1,3,1.54,2.83,0
1414,6,3,3,0,0,0,3,1.54,4.05,8
478,5,2,1,2,0,0,4,1.53,2.43,10
1231,5,2,2,1,1,1,1,1.53,2.02,0
590,6,2,2,2,0,1,4,1.53,4.86,10
1476,4,2,2,0,0,0,3,1.53,1.62,12
1079,3,1,1,1,0,0,1,1.53,0.81,0
1081,3,1,1,1,0,0,4,1.52,2.83,0
557,7,2,3,2,1,1,2,1.52,1.21,0
1590,5,2,3,0,0,1,6,1.51,4.05,0
781,9,4,4,1,0,0,3,1.51,1.62,0
1130,7,2,4,1,1,1,2,1.51,0.81,0
1236,5,2,2,1,0,1,4,1.51,1.21,0
491,5,2,1,2,0,0,4,1.5,3.24,0
287,12,6,4,2,0,0,2,1.5,2.02,0
1078,3,1,1,1,0,0,4,1.5,2.02,8
341,8,3,3,2,1,0,4,1.5,2.43,6
35,13,4,5,4,0,0,1,1.5,1.21,4
1008,6,4,1,1,0,0,4,1.5,5.67,10
362,7,2,3,2,0,0,4,1.5,1.62,10
660,5,2,1,2,0,1,4,1.49,2.83,4
307,8,2,4,2,0,0,4,1.49,2.43,2
28,8,0,3,5,0,1,5,1.49,6.07,4
1516,3,2,1,0,0,0,4,1.49,2.43,8
951,5,2,2,1,0,0,4,1.49,1.21,10
1339,3,1,1,1,1,1,4,1.49,6.07,10
1596,6,4,2,0,0,1,3,1.49,2.83,8
741,9,2,6,1,0,0,4,1.48,2.43,4
492,5,2,1,2,1,0,3,1.48,1.62,0
1413,6,3,3,0,0,0,4,1.48,3.24,10
26,14,3,6,5,0,1,6,1.48,4.05,4
27,14,3,6,5,0,1,6,1.48,4.05,4
457,7,4,1,2,0,0,3,1.47,1.21,6
677,5,2,1,2,0,1,4,1.47,3.24,10
581,6,2,2,2,0,1,2,1.47,0.4,6
156,6,1,2,3,0,0,2,1.47,0.4,6
1624,4,2,2,0,0,1,4,1.47,2.02,0
415,6,2,2,2,0,0,4,1.47,2.83,6
1326,4,2,1,1,0,1,4,1.46,4.05,0
1425,5,2,3,0,0,0,3,1.46,2.43,2
378,7,2,3,2,0,0,5,1.46,2.43,4
1479,4,2,2,0,0,0,4,1.46,4.05,8
228,6,2,1,3,0,1,2,1.46,6.07,0
112,12,6,3,3,0,0,5,1.45,2.43,8
364,7,2,3,2,0,0,4,1.45,1.62,4
778,9,4,4,1,0,0,3,1.45,1.62,4
784,8,3,4,1,0,0,4,1.45,2.83,10
1504,3,1,2,0,0,0,4,1.45,1.62,0
176,6,2,1,3,0,0,4,1.45,6.07,0
874,6,2,3,1,0,0,4,1.45,3.64,6
1155,6,2,3,1,1,1,2,1.44,2.43,4
757,9,3,5,1,0,0,5,1.44,3.24,6
1087,3,1,1,1,0,0,4,1.44,2.43,0
763,8,2,5,1,0,0,4,1.44,2.43,10
1612,4,2,2,0,0,1,3,1.44,2.02,12
1030,4,2,1,1,0,0,4,1.44,6.88,10
316,8,2,4,2,0,0,5,1.43,0.81,10
1659,2,1,1,0,0,1,2,1.43,3.24,2
559,7,2,3,2,0,1,2,1.43,1.62,0
1646,3,2,1,0,0,1,3,1.43,4.45,2
1621,4,2,2,0,0,1,3,1.43,2.83,0
